26,4;6;538,5;346,0000;2.985,0000;2.263.877,5266;2.486.327,2465;-754.135,2202;104,54;1.846.446,3477;-649.858,9544;201.832,9359;914.771,4407;-68.354,3019;-787.442,5721;790.392,1087;1.328.984,4963;2.229.121,7719;-351.334,6577;0,06;0,45;264.863,5458;-17.475,3311;-905.224,4667;-365.002,9096;1.115.011,7740;704.296,1743;106,58;1.562.967,5067;2.120.057,3586;1.994.224,9004;-276.819,1244;2.385.393,3546;-435.977,6969;270,38;0,05;1.528.823,3465;1.635.409,2549;1.582.675,0763;-775.298,6680
26,45;6;539,5;187,0000;2.057,0000;942.834,8658;151.888,3657;1.239.341,1884;303,91;-341.298,1245;-374.653,5197;321.580,2662;417.242,9906;2.460.589,2688;2.447.093,9934;1.870.686,7172;1.498.025,9020;-542.962,4387;113.651,2389;0,09;0,86;1.860.446,0177;-612.155,0921;40.163,5268;-468.130,8822;-108.172,7766;1.287.920,3058;145,57;108.937,5089;1.237.982,2083;2.314.180,6686;1.980.248,2827;2.439.323,0374;-63.032,7713;332,88;210,57;2.475.113,2558;664.451,6937;2.452.971,8149;1.241.184,4767
26,5;6;540,5;143,0000;4.006,0000;788.323,0922;469.351,1854;1.354.796,6935;316,05;183.740,5598;2.236.616,9412;417.088,2401;35.707,4177;2.246.022,4903;1.107.178,5977;2.180.025,3891;1.177.756,0898;-773.967,2592;1.919.004,6885;0,24;0,13;559.879,7253;522.755,0338;1.094.093,7081;2.386.890,2792;-455.918,9480;437.749,5047;338,10;2.488.059,7317;1.272.167,7955;-873.793,7757;659.615,7587;149.297,2809;341.836,7737;43,48;143,55;-479.363,2215;2.258.014,7396;-466.368,2763;19.409,0407
26,55;6;541,5;326,0000;1.100,0000;920.227,4612;2.113.205,8777;2.385.564,7990;270,80;2.390.960,7601;2.214.296,9143;-82.694,5258;2.255.273,9028;137.151,8901;1.491.806,4636;2.316.852,2322;-979.170,6861;1.008.642,7394;1.943.999,3026;0,60;0,02;1.320.230,6783;1.538.920,9826;944.565,5759;1.498.948,2764;-535.034,2800;1.589.376,8655;94,61;220.063,5111;189.335,3600;524.214,4672;324.229,8348;445.542,6270;-84.056,8705;129,08;6,11;1.987.851,6579;-245.467,2165;1.101.258,9134;581.883,8072
26,6;6;542,5;245,0000;2.129,0000;1.781.777,1155;-36.190,5443;-171.193,3151;165,60;905.721,7997;-937.363,8283;-24.725,4602;-404.917,4867;-207.847,9697;-763.664,2207;-259.339,7799;-294.436,5209;-215.903,5007;-723.902,1628;0,45;0,89;897.612,5197;-662.653,7184;-857.798,9061;1.367.960,2148;2.114.816,7953;841.692,2175;92,60;784.465,9460;2.369.626,2162;1.913.259,5835;2.112.583,1599;405.484,7087;854.389,4310;319,65;57,27;916.654,9773;1.506.971,2919;1.972.795,0360;1.926.483,2952
26,65;6;543,5;355,0000;566,0000;694.277,2530;1.576.172,6156;99.416,3177;13,76;2.035.588,3538;1.443.217,8829;1.927.827,0279;-151.699,6867;1.299.961,1156;-41.363,9231;-604.488,2845;127.489,2029;877.126,9502;2.286.179,2284;0,39;0,42;38.752,1042;-10.866,4758;-190.084,5629;1.872.066,2074;2.125.256,1668;706.797,5976;329,74;2.188.618,5887;2.030.115,1569;-214.522,8794;412.170,8772;-634.642,0155;187.900,7820;329,46;96,20;-634.150,9571;932.230,7383;683.910,9566;59.112,1333
26,7;6;544,5;149,0000;1.592,0000;1.825.397,9427;46.333,5439;1.322.769,1630;284,15;1.349.609,2945;1.680.765,7023;2.100.374,0881;2.260.940,7049;2.113.549,4753;1.609.367,3235;1.179.918,6205;2.193.577,2356;-100.322,5225;358.307,7088;0,82;0,13;603.073,3378;840.852,0606;342.326,6944;-649.508,1397;156.917,2482;269.760,2285;146,75;1.532.199,9669;1.384.156,1076;-819.334,2139;-403.079,9645;-612.628,1637;1.950.992,1765;262,76;335,97;1.105.171,7172;1.351.912,0029;-555.955,5499;770.567,6103
26,75;6;545,5;37,0000;2.028,0000;1.999.354,8139;-50.106,5178;-165.260,9902;335,78;2.230.912,9049;1.526.402,5864;1.443.809,4463;1.576.820,0318;105.923,8538;825.215,6326;2.338.835,4313;878.898,1920;1.859.655,0053;1.077.584,4316;0,47;0,19;-589.360,6880;1.722.654,1167;1.326.158,1485;-326.336,1457;1.484.161,7268;-982.687,6350;139,04;1.616.712,3447;-365.363,1054;1.516.267,0084;2.172.332,7537;-136.040,4670;1.939.426,1577;153,02;89,14;2.034.547,1945;412.098,7320;2.391.383,3783;1.873.862,6104
26,8;6;546,5;88,0000;993,0000;1.932.974,1187;-319.725,8095;1.462.118,2496;65,00;2.339.008,9271;1.616.172,3965;411.649,0044;737.434,7520;392.925,4103;-628.798,6982;-105.947,6873;1.056.257,6049;373.574,9917;-45.446,2083;0,72;0,28;-68.488,8279;-680.394,3162;2.204.115,0136;2.369.009,7737;1.006.162,6611;-602.677,5976;323,97;462.962,8822;994.850,2131;-464.402,3046;-182.969,8104;-944.345,1631;2.022.718,8126;340,83;65,68;-847.045,5466;1.050.767,0292;1.233.097,7152;404.967,2017
26,85;6;547,5;104,0000;2.579,0000;1.623.907,3450;1.760.248,1457;1.067.121,7575;236,67;1.554.015,6951;-851.987,0847;1.444.748,4063;351.613,4753;-25.452,3460;1.499.333,1140;451.674,1614;365.044,0090;662.231,5367;591.957,4071;0,65;0,51;405.841,9166;47.005,1129;1.645.884,9741;1.535.582,1937;-791.311,5681;1.565.216,1662;190,11;874.842,8370;1.507.200,2144;302.341,6179;1.711.285,0813;-663.866,2088;-931.754,3342;211,89;171,75;631.523,3168;2.293.262,4188;1.116.965,6895;802.399,4421
26,9;6;548,5;68,0000;2.790,0000;1.298.414,5332;2.147.402,7028;1.222.921,3727;102,09;2.228.433,6441;-790.723,8478;1.206.159,0791;391.791,9194;-90.631,2837;644.770,5396;2.111.410,2470;-175.693,4268;-954.758,5102;-843.572,5901;0,43;0,11;2.287.342,3487;1.070.452,8333;1.297.904,1774;1.846.049,7531;59.095,1037;71.503,1156;251,30;2.427.207,2885;761.263,3136;2.475.960,7430;1.662.736,4713;-535.750,7591;-783.212,3140;245,02;222,08;251.910,7866;-233.762,5174;449.439,1761;-759.583,6435
26,95;6;549,5;1,0000;3.715,0000;-297.576,4631;-175.468,3198;444.122,5208;152,10;-79.061,5803;-877.927,7348;1.384.417,7342;1.052.410,2525;1.773.400,5749;453.357,2066;2.284.123,2963;1.138.767,8861;2.431.429,0665;414.713,5841;0,34;0,29;-150.485,3648;2.368.069,3342;2.096.995,9551;531.782,8085;1.710.997,4395;-879.126,5238;277,71;1.310.660,7766;-484.854,9867;847.539,3598;-566.780,8126;1.059.209,7344;165.895,0725;355,04;46,12;2.235.667,2946;1.596.535,1165;-4.121,2316;-222.478,0575
27;6;550,5;62,0000;2.403,0000;607.818,5617;-193.515,0369;-374.860,7835;172,60;-220.623,6780;65.905,5676;121.136,9953;1.388.475,3200;1.893.283,3993;673.730,5004;2.470.134,8106;2.147.697,2648;977.916,4831;1.842.566,0607;0,70;0,05;1.055.114,5916;1.032.816,6778;360.486,4883;568.051,5142;1.037.452,6944;390.743,5000;148,77;1.477.026,3523;1.189.652,3580;-503.830,3549;775.140,3288;1.096.574,7135;2.090.833,9937;225,03;273,14;1.698.618,7664;2.145.417,7133;2.463.627,8958;-631.375,8527
27,05;6;551,5;277,0000;1.265,0000;-995.656,5771;1.982.126,3014;2.001.372,1507;163,91;193.185,3191;49.985,9159;1.370.333,3027;77.144,2554;177.727,3303;476.165,1080;1.302.181,0844;916.973,1973;682.026,9069;1.599.155,9667;0,61;0,80;1.372.639,1587;318.547,6742;1.048.452,8940;1.706.387,5494;-401.264,0063;-507.773,6766;46,55;-101.039,9903;-684.079,6289;-815.515,0719;1.377.417,8872;2.175.837,0732;1.772.256,9598;293,01;129,91;768.141,7711;1.025.283,1286;-313.781,7071;2.357.667,6661
27,1;6;552,5;19,0000;2.742,0000;1.734.987,0262;-478.299,5942;-183.145,1178;216,55;2.173.315,5923;-900.412,7000;-800.664,9634;1.661.072,0606;1.615.914,3675;1.231.870,0311;1.963.472,4071;-376.057,1717;-217.909,2194;1.618.888,1873;0,62;0,80;1.992.445,7060;2.346.494,7018;33.434,5616;662.250,8430;-644.449,5280;-971.009,4755;327,45;-263.398,2152;42.635,7660;1.590.426,2904;-490.033,5389;-901.381,4541;-101.560,1813;96,23;281,31;349.215,6134;1.398.957,2901;396.507,7856;-46.698,7677
27,15;6;553,5;208,0000;6.750,0000;-565.189,0717;1.938.590,7678;2.197.510,4045;246,55;471.643,8460;1.680.058,2806;1.391.638,4479;1.385.744,2128;297.361,8765;809.581,0387;825.926,6680;583.689,0945;-789.129,5846;213.450,7269;0,98;0,44;1.742.386,6150;579.510,1519;556.516,9969;281.693,0401;-724.479,6100;543.978,7003;39,23;-147.896,8455;1.574.811,1119;-430.158,0448;2.226.145,2412;-30.820,8933;1.247.062,8856;106,14;58,57;1.198.861,8144;575.268,8516;164.155,7319;1.597.887,6781
27,2;6;554,5;160,0000;2.309,0000;-600.632,7534;-942.217,6240;-120.360,6797;326,12;-405.021,7535;693.105,9256;-946.969,6248;2.077.597,0213;156.470,5973;101.032,5470;-153.078,6922;-621.636,7358;1.142.510,7597;-260.859,8059;0,12;0,72;-629.670,7033;2.172.858,9483;91.821,2260;1.489.795,0422;-73.631,1699;1.288.289,8777;150,98;2.316.634,6944;-33.793,1832;1.784.347,8593;-871.991,2487;466.667,5909;2.276.793,4747;157,53;87,76;-477.421,7370;216.842,8592;1.748.595,2753;1.267.641,6309
27,25;6;555,5;332,0000;1.536,0000;2.226.832,5636;1.247.904,2511;1.021.189,1883;141,86;1.094.108,7379;506.108,3368;995.122,7725;156.914,5076;1.717.566,0879;957.068,0373;774.644,5837;1.046.437,6951;2.295.756,2240;-275.685,0135;0,54;0,90;854.149,4576;1.635.999,7707;2.478.799,2042;2.226.625,7520;198.425,5929;-181.376,8529;150,97;693.746,3072;1.209.232,5705;2.034.763,2857;-449.744,5197;255.664,0472;1.967.774,0308;202,22;160,43;-680.658,6846;2.229.630,0826;2.366.099,9699;2.097.564,2723
27,3;6;556,5;61,0000;685,0000;392.767,9103;664.827,6658;1.521.305,8950;290,46;364.276,8719;-158.466,1343;-859.643,8003;1.887.299,1694;1.281.179,0043;340.248,9962;1.072.065,2992;1.061.711,1137;1.491.933,0912;501.682,6071;0,46;0,12;1.120.747,6093;774.540,4906;-752.772,1191;-644.413,6126;1.021.737,4747;-963.860,9831;332,68;1.290.052,1208;2.357.424,1515;2.046.449,2515;1.077.550,2687;2.290.399,4939;-749.855,7409;272,88;23,27;1.597.345,8654;470.979,4920;904.087,5223;1.756.353,3664
27,35;6;557,5;193,0000;1.707,0000;132.996,2775;-433.983,2199;2.040.407,0542;271,38;2.295.549,3324;1.020.280,8187;-863.961,5298;289.908,1510;555.334,4276;2.441.417,3731;-253.964,3266;-226.387,8133;-548.364,9221;222.443,3192;0,93;0,17;-782.047,4906;2.120.511,0931;436.219,0605;1.188.670,5625;-990.448,9036;2.051.881,3273;265,15;1.962.558,4225;192.663,8841;560.750,2830;-10.055,2374;-509.047,1684;1.174.846,1510;147,08;29,96;1.018.372,5717;-226.036,5541;772.213,9352;252.396,5716
27,4;6;558,5;164,0000;2.073,0000;1.025.408,9864;-156.778,6661;-699.500,9274;61,96;305.767,5082;1.732.174,7494;1.709.461,4947;1.917.267,6037;1.136.672,3011;-952.108,8962;1.808.276,4349;484.604,7651;-808.782,7862;540.729,9821;0,10;0,09;1.097.177,7400;-96.031,4128;1.764.570,0064;-395.342,6336;748.241,7316;277.259,3585;221,00;1.612.238,6019;1.853.180,7839;-405.027,2369;-319.906,4352;1.956.855,9447;454.888,1013;43,89;62,41;-603.327,7395;372.821,6212;-17.348,0412;905.830,0490
27,45;6;559,5;99,0000;7.422,0000;1.541.190,3055;-106.447,7874;1.298.153,0585;321,87;1.041.056,9921;2.309.041,1016;1.121.504,1894;709.118,3307;1.960.791,1954;1.937.844,9344;2.278.899,0649;-384.424,1849;516.999,1157;837.205,4332;0,34;0,88;-392.206,3679;1.906.069,4581;2.008.143,1955;2.287.331,6409;120.931,1959;-425.224,3738;206,63;1.020.247,7204;1.345.263,4616;851.714,5105;1.026.775,1510;728.694,4479;892.148,4029;61,36;65,35;1.041.243,5538;2.064.523,0418;1.641.762,3081;1.474.384,2454
27,5;6;560,5;350,0000;1.620,0000;1.216.894,2504;632.303,4912;1.872.442,6917;71,31;1.596.287,0089;2.390.026,7608;577.031,1067;-653.656,7276;1.685.765,8138;1.652.794,1730;181.762,8493;2.204.228,9718;1.974.557,6107;1.593.870,6048;0,09;0,46;-824.787,9828;409.520,1260;-737.875,9084;-878.535,4818;2.208.278,8632;-562.819,2859;348,96;-494.666,2768;458.577,0890;-214.980,2117;1.566.447,6455;394.266,6596;2.098.231,8076;60,12;208,66;44.598,7118;-559.433,5940;-253.388,8323;-112.706,1311
27,55;6;561,5;200,0000;3.531,0000;243.814,8763;1.178.589,3508;486.801,7438;354,27;1.245.969,9291;-624.949,6001;1.142.654,1105;1.887.374,2132;-4.662,2906;2.488.541,0724;2.779,3583;2.149.899,0910;1.040.833,9086;2.191.491,2048;0,11;0,09;-40.060,7505;-806.302,7496;438.106,1596;1.576.753,2953;-136.753,9280;1.732.845,3607;119,28;497.647,1831;1.630.108,1195;2.258.235,8683;1.195.939,6238;2.011.071,5867;-320.058,4864;350,27;310,75;166.250,9977;1.814.580,5169;1.251.174,8593;2.254.014,0144
27,6;6;562,5;174,0000;2.876,0000;2.390.235,8678;1.948.646,8334;2.328.847,6974;51,92;249.122,2250;78.890,1113;1.966.997,4303;476.765,5355;-936.741,0714;-871.363,2361;477.195,8782;1.289.476,4913;-277.458,3227;-134.875,9683;0,62;0,20;432.275,7937;104.422,8400;1.068.393,4782;1.395.206,7279;465.889,4998;308.594,1597;64,81;2.420.714,7490;964.873,8493;678.798,0193;1.334.006,7923;1.064.287,9676;1.264.053,8001;223,51;191,83;2.242.419,9579;86.984,6918;2.385.745,7697;-212.878,4149
27,65;6;563,5;301,0000;6.334,0000;-38.508,3534;388.729,3168;-722.826,5064;98,97;1.936.416,4734;313.616,2156;529.626,1127;1.115.498,3075;158.922,6212;1.280.943,2562;-518.819,7332;-323.508,7571;-543.344,8267;529.033,5422;0,59;0,96;448.535,7491;-132.233,3870;564.503,1694;594.379,6478;2.411.600,0799;1.237.435,0426;342,03;1.452.843,4834;692.447,7259;102.982,1731;1.981.069,3503;2.071.974,4500;1.916.120,7089;332,58;343,42;1.788.267,9624;1.733.211,5158;2.057.763,9832;986.492,4550
27,7;6;564,5;300,0000;6.428,0000;-594.038,0544;560.018,4930;2.481.402,3248;55,66;1.844.876,0249;-987.260,4655;719.598,9466;2.445.855,3089;1.981.093,1202;-160.243,4059;368.265,0930;-317.213,0040;-559.639,5960;1.223.598,9753;0,96;0,10;908.165,9922;874.336,4954;-491.215,4583;1.104.260,1783;-848.783,6633;1.958.103,2496;4,39;-948.709,0297;1.739.761,7568;-548.715,4552;-10.976,5658;-193.388,9300;66.523,5737;31,78;216,47;-237.396,3018;542.485,4280;1.746.192,5183;2.083.196,9597
27,75;6;565,5;125,0000;2.169,0000;110.511,6437;-131.021,9615;2.029.315,3840;351,17;522.525,9844;404.526,7594;112.217,2282;692.941,6547;469.638,3278;-848.047,1915;212.498,9518;1.667.499,1924;795.869,6798;2.136.619,3942;0,28;0,99;-722.221,1259;-738.245,1024;180.880,1519;-668.641,3774;-691.942,7657;-184.658,9795;144,07;610.599,3704;-494.659,6583;-506.311,6307;-281.848,0404;399.444,8122;1.875.633,3153;116,89;105,13;540.119,9540;267.586,9829;-717.455,3639;264.284,6540
27,8;6;566,5;168,0000;5.134,0000;-123.726,9727;1.184.583,5571;-890.224,5194;359,08;2.333.481,4093;162.346,2774;2.392.371,6361;-833.907,4401;-418.097,1486;1.043.389,3223;-875.235,3249;1.337.207,6151;1.753.966,9516;2.288.764,5351;0,61;0,91;1.497.219,1159;1.524.849,4644;1.196.571,0789;1.661.979,0921;2.165.245,8103;-679.197,6471;29,90;2.001.638,4962;238.412,2689;75.379,1300;749.917,1063;966.389,2573;2.172.852,7449;226,68;249,52;354.766,6157;-269.645,2239;43.213,2409;226.941,8727
27,85;6;567,5;230,0000;2.670,0000;2.133.520,1677;-453.710,0390;-949.192,8663;168,50;996.452,3081;-433.865,1393;2.137.988,3160;-875.722,0206;1.228.047,1031;-824.585,0518;238.782,6493;1.924.697,4667;285.166,8794;-213.347,4885;0,36;0,53;1.844.225,8839;326.068,6373;999.460,7381;1.316.837,5614;1.651.370,4429;1.741.317,1551;261,59;2.227.772,0032;-111.826,0332;2.495.562,0044;355.887,1640;180.656,5600;1.687.728,0286;126,96;234,85;1.351.000,8361;2.043.027,8715;955.472,0791;1.584.494,8244
27,9;6;568,5;5,0000;4.467,0000;470.623,7826;505.960,5982;-498.805,9234;319,43;1.274.426,5354;1.987.534,8488;-308.260,9551;-904.273,7068;-368.877,2271;785.100,3441;846.601,0519;2.127.550,0677;304.338,2366;547.243,7248;0,52;0,68;1.668.330,2548;1.801.482,3880;1.309.069,8828;903.984,2595;791.567,4376;-594.867,6636;7,56;1.583.860,4668;1.424.166,4953;2.122.048,5478;1.933.241,7806;1.674.306,7205;1.690.891,0244;303,85;352,58;189.191,6652;-368.057,8595;328.830,1090;926.126,7232
27,95;6;569,5;112,0000;6.408,0000;60.604,0913;-531.272,6782;578.655,2441;118,75;805.939,8013;2.412.764,8192;-310.448,6231;1.424.595,1763;-988.355,7297;2.196.621,8232;126.199,5661;1.419.114,5980;1.673.886,2202;512.941,0810;0,52;0,17;950.559,5294;2.470.218,2929;-651.919,1349;-30.199,0725;-790.006,3956;2.333.955,5389;274,91;1.028.604,7736;1.290.462,8105;725.915,3545;109.861,8505;31.582,7750;-76.046,4164;312,07;34,83;-889.068,9571;-65.646,1089;688.506,0598;361.846,6069
28;6;570,5;187,0000;3.164,0000;1.305.917,1335;-934.152,6803;1.525.599,4256;71,78;1.226.825,8183;1.473.684,6879;1.159.510,7531;2.455.476,4549;2.117.345,3822;1.809.634,0291;1.735.259,3782;882.915,5717;2.479.530,6005;-40.225,3988;0,93;0,40;128.078,7025;1.618.845,3031;-88.557,2026;2.356.957,1408;-699.152,3123;352.638,9903;249,72;1.373.888,8658;-220.599,9980;2.458.755,3116;80.124,1321;-123.087,4589;690.120,4048;59,20;21,04;-854.873,0722;1.036.825,0834;1.358.912,6514;-139.392,7787
28,05;6;571,5;282,0000;3.735,0000;577.388,1158;881.319,1744;740.639,2009;28,59;-148.336,6122;-238.549,3460;2.413.100,0680;1.001.215,7962;-208.862,0048;-984.813,9766;1.746.776,4044;2.025.910,6934;660.362,9520;856.272,5262;0,79;0,61;18.659,8498;1.197.506,2837;36.905,1037;1.708.206,9948;-163.198,0562;-783.939,6683;67,40;2.318.351,1289;999.577,1480;1.439.352,3867;374.603,0646;-62.218,0726;1.139.096,5915;121,09;18,91;2.259.627,2184;1.513.102,5664;2.259.273,8645;1.642.825,3387
28,1;6;572,5;256,0000;4.722,0000;-513.881,8338;-257.124,3490;693.479,7493;152,55;1.211.742,2263;1.680.888,4240;350.392,3549;475.512,6005;-228.237,9294;760.547,7909;-220.808,4275;1.784.284,3723;792.439,5796;1.925.318,3803;0,24;0,28;2.383.732,7649;991.313,4893;1.209.206,4844;-16.563,3384;816.813,2541;2.446.502,0114;142,80;-115.122,2250;208.011,8137;510.347,8638;386.377,5084;2.426.401,3478;2.044.984,0428;285,01;84,97;1.112.105,1075;337.098,6213;-990.351,9730;2.181.668,5740
28,15;6;573,5;178,0000;5.714,0000;640.811,0493;581.438,3340;1.766.322,7801;57,54;-23.742,6697;2.367.400,3701;559.912,5362;-942.554,4606;1.246.647,1229;1.478.718,7726;1.519.611,7447;798.700,4629;337.969,8586;222.071,4985;0,27;0,80;643.729,5936;260.166,3080;422.090,8512;-830.189,6041;2.447.498,1860;-434.257,1240;93,49;1.433.283,8698;1.317.250,4606;-286.331,7077;416.422,3120;1.696.394,6825;184.298,5936;114,85;327,46;2.006.013,6711;643.932,3271;1.498.788,3635;321.340,2265
28,2;6;574,5;126,0000;5.776,0000;1.233.550,3423;779.968,6894;-684.941,9582;93,85;76.351,2547;1.615.920,0709;-78.665,9780;271.730,6539;2.484.168,2788;2.280.058,3774;1.540.576,8461;2.076.845,1916;1.498.830,8216;367.751,4965;0,29;0,03;-67.439,4027;-199.962,6875;1.097.107,4679;739.929,1625;1.266.379,4493;-633.118,5785;64,12;-358.223,8849;1.696.462,6944;1.790.595,3031;-572.278,1238;433.087,5056;1.612.129,8188;16,77;224,57;-870.613,1504;-681.500,6303;-140.811,4474;978.501,9522
28,25;6;575,5;178,0000;5.846,0000;-574.841,9013;1.790.328,2262;-213.238,2914;61,53;-894.573,9955;1.363.564,0035;-211.575,8025;2.426.121,7793;-229.238,1273;255.108,7324;2.180.340,2924;280.421,1722;-657.093,8581;-99.315,6823;0,96;0,37;-930.142,1881;1.601.649,9718;-596.994,9142;-734.719,3934;2.437.776,6219;1.874.783,3846;245,84;750.710,4232;-530.855,2146;1.127.683,2212;2.246.255,0303;1.511.867,2653;-312.756,2707;224,79;160,01;825.258,2400;2.355.229,4337;1.936.586,4789;931.119,6481
28,3;6;576,5;334,0000;6.461,0000;165.236,1124;-79.390,8062;-543.047,7070;207,60;451.103,8671;974.944,1849;2.265.713,0773;-350.868,0645;-528.206,4196;-187.203,2658;1.658.939,7264;-487.027,1960;174.708,7975;1.971.346,1916;0,78;0,46;1.688.413,3189;1.591.411,5349;1.870.431,0934;-779.912,8478;1.495.655,6143;1.392.114,5623;344,09;1.171.341,1644;1.683.217,4955;2.202.149,8188;-95.570,1368;-240.555,7490;257.460,1861;338,45;251,70;2.405.143,5077;-658.642,9170;599.614,1551;194.704,3817
28,35;6;577,5;330,0000;4.779,0000;-904.666,8812;-486.267,1273;2.201.647,9545;224,07;2.205.308,4741;441.480,9102;1.782.414,1480;2.018.471,9296;-435.864,5589;1.693.172,0120;286.683,9298;8.857,0110;-524.086,2384;-940.278,9794;0,91;0,33;1.456.135,8240;-821.582,7454;1.574.747,2755;355.943,1426;2.093.783,7110;2.366.890,3760;110,37;1.989.238,2385;-125.303,1710;1.907.003,8511;1.600.240,6418;1.513.053,5764;828.855,5871;337,78;179,99;-18.556,6265;-814.240,9299;416.932,4770;1.231.036,8715
28,4;6;578,5;190,0000;1.924,0000;1.184.271,9140;1.743.190,7570;565.649,3882;3,73;342.284,7457;1.509.115,3297;1.641.459,7388;2.069.177,7365;1.748.310,0389;-83.110,0489;-215.688,0417;-423.978,5858;1.129.838,2449;1.325.769,3826;0,23;0,78;-261.503,7062;470.259,1722;-409.423,2673;2.282.002,3339;1.571.038,4494;-114.049,6600;358,26;-553.553,6821;1.552.942,3728;1.934.802,5118;1.593.325,4168;-449.399,6184;299.908,5323;48,00;258,85;1.406.633,5339;1.495.458,7517;641.829,5110;128.928,0849
28,45;6;579,5;290,0000;4.524,0000;2.124.788,8519;379.727,4267;-452.014,5112;29,08;2.332.045,4672;728.757,2816;2.072.727,1376;-526.944,8622;-253.761,1692;1.391.711,3413;2.063.359,5438;-345.033,6047;1.945.585,6555;2.369.774,7411;0,49;0,31;853.054,5643;1.728.476,5466;1.086.730,6495;-280.947,0941;-252.212,2540;1.965.327,9639;140,59;2.141.173,6087;1.283.697,9568;1.219.572,5542;749.979,8785;1.987.027,7939;1.838.514,4299;16,57;293,15;-646.466,4595;-805.143,1480;-113.400,5012;-590.643,0062
28,5;6;580,5;285,0000;5.930,0000;-960.625,9073;593.606,0649;-964.390,3894;151,43;391.684,5601;-854.120,1082;182.611,2878;2.011.443,3723;256.861,4498;1.265.254,4268;308.910,2726;417.861,6104;1.095.607,1196;-757.820,4974;0,96;0,72;2.177.337,4896;2.167.678,9756;322.755,5451;525.811,4059;721.441,7253;2.045.889,4281;90,84;-237.731,5797;1.526.634,4285;1.626.336,1050;748.399,4499;2.097.301,4076;978.530,2948;259,82;159,56;2.130.600,2408;335.727,3463;-292.010,6246;-613.367,6242
28,55;6;581,5;183,0000;302,0000;-968.235,7704;-624.770,8072;1.347.214,4483;29,99;-237.303,5668;-747.837,8013;1.892.635,3032;1.445.659,6466;711.022,2793;1.575.323,1070;-642.764,0936;1.390.612,6303;-34.484,6667;25.424,8168;0,96;0,98;-998.372,9666;977.258,2752;354.267,1438;1.046.126,2362;-338.403,7124;-519.192,8222;354,71;-642.171,9957;2.407.513,7876;2.473.672,8482;-633.759,6894;-533.904,2072;1.359.366,1971;73,87;203,91;580.219,5022;1.266.005,1051;1.730.404,4641;1.394.327,0331
28,6;6;582,5;352,0000;5.134,0000;2.016.044,8404;1.957.129,4176;147.304,0577;207,82;1.172.751,4152;-226.636,7365;-236.472,1082;2.163.245,4753;1.649.152,5300;-369.064,1972;1.013.679,6629;1.782.544,9355;169.904,5966;417.017,2287;0,60;0,53;-94.585,4845;738.330,0785;101.933,0341;947.596,7956;1.242.925,3361;1.169.124,3818;172,09;-395.353,8551;274.140,9633;709.474,1207;1.015.235,8691;1.200.409,5936;45.314,0974;277,99;303,23;269.460,4736;-255.951,0673;2.488.119,3933;1.579.371,0204
28,65;6;583,5;61,0000;5.315,0000;412.742,0873;777.935,0094;1.566.677,4714;21,17;1.921.335,3268;-250.414,2280;1.428.638,8979;1.285.124,6637;209.421,4523;1.488.685,7212;2.442.622,2962;139.112,1858;-101.756,2168;2.209.683,4776;0,82;0,01;815.745,4280;-498.125,7351;1.395.660,3905;2.120.114,8829;1.909.012,1788;502.232,3063;272,75;-525.197,5688;-575.591,2806;21.671,3365;-593.858,1450;1.504.805,7453;1.812.843,2528;248,03;298,45;-355.363,2852;1.908.551,3359;-775.946,6672;-428.585,5286
28,7;6;584,5;159,0000;528,0000;-673.411,1000;-17.360,7689;-682.930,2989;325,88;-994.430,0997;713.167,0901;1.078.994,5371;1.954.571,6326;-41.652,0883;662.022,3580;45.148,5885;41.916,1385;-674.340,9708;2.169.507,3424;0,59;0,56;-246.821,1492;-358.085,0801;1.681.428,0723;2.324.523,2080;908.666,5129;-134.355,6442;167,04;-419.055,9625;1.331.420,2266;169.870,6713;1.423.160,7907;1.992.689,2940;618.092,9208;181,63;50,33;2.030.294,9476;-189.176,6770;-61.041,9728;2.233.995,7856
28,75;6;585,5;218,0000;772,0000;1.011.829,7117;1.155.723,9338;1.398.402,7535;64,61;361.819,6020;645.031,7095;-600.387,1866;1.255.317,4507;569.585,7448;551.577,3703;597.598,5192;708.769,9675;374.280,9980;-803.637,6040;0,97;0,76;1.310.023,2948;-632.525,5709;2.121.888,0541;340.314,7770;2.014.896,6685;1.460.926,8119;150,47;2.426.151,7101;1.646.683,0700;-587.941,8864;913.033,5276;853.601,5291;-481.040,8080;135,02;226,21;554.812,0535;113.064,2132;1.024.307,9309;-489.072,6450
28,8;6;586,5;48,0000;516,0000;695.294,8869;-396.419,2454;1.845.056,8757;115,54;1.369.498,1444;-111.460,0016;988.903,8262;2.246.837,9324;1.215.857,7745;2.200.598,0873;-969.342,8926;-709.451,0840;371.621,4970;1.302.805,6068;0,20;0,86;-869.351,5450;-815.632,9707;-905.463,6089;987.521,6151;2.175.078,3750;405.110,6567;23,39;-865.560,4899;1.127.072,1727;381.721,8067;775.653,9587;655.421,8517;658.364,1425;338,43;149,63;-454.069,8151;2.385.981,5494;-615.102,6092;1.916.678,6606
